hb_W_m2K,temps_h,temperature_non_regulee_C
30,13.25,29.78808525400907
30,13.5,29.923539575761474
30,13.75,30.05751715269126
30,14.0,30.19003408450823
30,14.25,30.32110629540055
30,14.5,30.45074953594833
30,14.75,30.57897938501631
30,15.0,30.705811251625956
30,15.25,30.831260376807084
30,15.5,30.95534183542936
30,15.75,31.078070538013783
30,16.0,31.19946123252447
30,16.25,31.319528506140834
30,16.5,31.438286787010533
30,16.75,31.555750345983228
30,17.0,31.67193329832547
30,17.25,31.78684960541691
30,17.5,31.900513076428002
30,17.75,32.012937369979376
30,18.0,32.124135995783206
30,18.25,32.23412231626658
30,18.5,32.34290954817728
30,18.75,32.45051076417198
30,19.0,32.556938894387116
30,19.25,32.66220672799271
30,19.5,32.76632691472921
30,19.75,32.869311966427546
30,20.0,32.97117425851263
30,20.25,33.07192603149054
30,20.5,33.17157939241935
30,20.75,33.27014631636406
30,21.0,33.367638647835584
30,21.25,33.46406810221405
30,21.5,33.55944626715665
30,21.75,33.65378460399006
30,22.0,33.74709444908772
30,22.25,33.83938701523212
30,22.5,33.930673392962184
30,22.75,34.020964551905976
30,23.0,34.11027134209894
30,23.25,34.19860449528767
30,23.5,34.28597462621953
30,23.75,34.3723922339182
30,24.0,34.457867702945315
30,24.25,34.54241130464835
30,24.5,34.62603319839489
30,24.75,34.708743432793476
30,25.0,34.79055194690107
30,25.25,34.871468571417466
30,25.5,34.951503029866565
30,25.75,35.030664939764854
30,26.0,35.108963813777116
30,26.25,35.18640906085951
30,26.5,35.26300998739026
30,26.75,35.33877579828794
30,27.0,35.413715598117626
30,27.25,35.48783839218497
30,27.5,35.561153087618315
30,27.75,35.63366849443907
30,28.0,35.70539332662037
30,28.25,35.77633620313421
30,28.5,35.84650564898715
30,28.75,35.91591009624479
30,29.0,35.98455788504496
30,29.25,36.05245726459997
30,29.5,36.11961639418792
30,29.75,36.18604334413312
30,30.0,36.25174609677589
30,30.25,36.31673254743183
30,30.5,36.38101050534051
30,30.75,36.44458769460393
30,31.0,36.507471755114665
30,31.25,36.569670243473965
30,31.5,36.631190633899806
30,31.75,36.69204031912502
30,32.0,36.75222661128568
30,32.25,36.81175674279977
30,32.5,36.87063786723631
30,32.75,36.92887706017494
30,33.0,36.986481320056185
30,33.25,37.04345756902246
30,33.5,37.099812653749865
30,33.75,37.155553346270935
30,34.0,37.21068634478841
30,34.25,37.26521827448015
30,34.5,37.31915568829527
30,34.75,37.37250506774156
30,35.0,37.42527282366437
30,35.25,37.477465297017005
30,35.5,37.52908875962265
30,35.75,37.58014941492807
30,36.0,37.630653398749075
30,36.25,37.68060678000779
30,36.5,37.730015561462004
30,36.75,37.778885680426455
30,37.0,37.82722300948632
30,37.25,37.87503335720292
30,37.5,37.9223224688117
30,37.75,37.96909602691262
30,38.0,38.015359652153016
30,38.25,38.061118903903036
30,38.5,38.10637928092366
30,38.75,38.15114622202752
30,39.0,38.19542510673241
30,39.25,38.23922125590776
30,39.5,38.282539932414025
30,39.75,38.325386341735125
30,40.0,38.36776563260394
30,40.25,38.40968289762103
30,40.5,38.451143173866626
30,40.75,38.492151443505875
30,41.0,38.532712634387565
30,41.25,38.5728316206363
30,41.5,38.61251322323817
30,41.75,38.651762210620106
30,42.0,38.69058329922289
30,42.25,38.728981154067895
30,42.5,38.76696038931768
30,42.75,38.80452556883048
30,43.0,38.841681206708586
30,43.25,38.878431767840844
30,43.5,38.91478166843913
30,43.75,38.95073527656912
30,44.0,38.98629691267507
30,44.25,39.02147085009911
30,44.5,39.056261315594675
30,44.75,39.090672489834475
30,45.0,39.12470850791283
30,45.25,39.15837345984262
30,45.5,39.19167139104673
30,45.75,39.2246063028442
30,46.0,39.257182152931044
30,46.25,39.28940285585583
30,46.5,39.32127228349011
30,46.75,39.352794265493635
30,47.0,39.383972589774615
30,47.25,39.41481100294487
30,47.5,39.445313210770045
30,47.75,39.47548287861495
30,48.0,39.50532363188397
30,48.25,39.53483905645677
30,48.5,39.56403269911917
30,48.75,39.59290806798936
30,49.0,39.62146863293947
30,49.25,39.64971782601251
30,49.5,39.677659041834815
30,49.75,39.70529563802395
30,50.0,39.7326309355922
30,50.25,39.759668219345635
30,50.5,39.78641073827884
30,50.75,39.81286170596535
30,51.0,39.83902430094377
30,51.25,39.864901667099815
30,51.5,39.89049691404401
30,51.75,39.91581311748542
30,52.0,39.940853319601246
30,52.25,39.96562052940237
30,52.5,39.990117723094954
30,52.75,40.01434784443808
30,53.0,40.0383138050975
30,53.25,40.06201848499553
30,53.5,40.085464732657066
30,53.75,40.108655365551975
30,54.0,40.13159317043359
30,54.25,40.154280903673616
30,54.5,40.176721291593346
30,54.75,40.198917030791286
30,55.0,40.22087078846718
30,55.25,40.242585202742546
30,55.5,40.26406288297767
30,55.75,40.28530641008516
30,56.0,40.30631833684012
30,56.25,40.32710118818687
30,56.5,40.3476574615424
30,56.75,40.367989627096435
30,57.0,40.38810012810831
30,57.25,40.40799138120056
30,57.5,40.42766577664929
